month,hw_mult_point,hw_mult_lo95,hw_mult_hi95,hw_damped_point,hw_damped_lo95,hw_damped_hi95,ets_point,ets_lo95,ets_hi95,stlf_point,stlf_lo95,stlf_hi95,arima_point,arima_lo95,arima_hi95
2027-04-01,3326.8211567375993,2939.182349018314,3714.4599644568843,3407.3228437339408,2398.2644695580907,4416.38121790979,3433.80492909024,3070.4806217679907,3797.1292364124893,3434.8148422821732,3089.1840009803295,3780.445683584017,3404.0757781697725,2770.702441345653,4182.236147268955
2027-05-01,3389.392606555829,2979.385027287479,3799.400185824179,3448.96325153827,2371.472468908766,4526.454034167774,3453.434214804668,3072.9437404913674,3833.9246891179687,3478.204406124398,3115.810869125068,3840.5979431237274,3407.6801479870983,2737.733196169849,4241.568903511574
2027-06-01,3420.5287535226716,2991.8148724479943,3849.242634597349,3467.144501016211,2327.711088847096,4606.577913185326,3473.063500519096,3075.524742041038,3870.6022589971544,3496.299927019349,3117.2258328782427,3875.3740211604554,3410.702954122016,2705.4520273104886,4299.797048266643
2027-07-01,3454.1679157159606,3006.5816026261737,3901.7542288057475,3508.274688435503,2298.5014111232085,4718.047965747797,3492.692786233524,3078.1976968133163,3907.187875653732,3533.557315780619,3137.861395142929,3929.253236418309,3413.2376319095292,2673.9700124468463,4356.889223758624
2027-08-01,3454.434785194749,2992.2064529053114,3916.663117484187,3525.576622078292,2252.819250354959,4798.333993801625,3512.3220719479523,3080.94082346622,3943.7033204296845,3562.0321740188215,3149.7535576434957,3974.3107903941473,3415.362724426786,2643.3523250203953,4412.844413131332
2027-09-01,3498.437222370515,3016.1355129775607,3980.7389317634693,3558.3837711558085,2216.3029851460497,4900.464557165567,3531.9513576623804,3083.7356638588512,3980.1670514659095,3589.172421863146,3160.3336874159486,4018.0111563103437,3417.1442204178593,2613.631571431122,4467.681960522612
2027-10-01,3566.1761205692455,3060.6639577226333,4071.6882834158578,3560.2230845572003,2159.993739972615,4960.452429141786,3551.580643376808,3086.566454820419,4016.594831933197,3596.647371015097,3151.2570106397134,4042.037731390481,3418.637535931675,2584.8173887044472,4521.434532726797
2027-11-01,3619.485654496801,3092.658896915954,4146.312412077648,3567.1390046178285,2106.666879602729,5027.611129632928,3571.209929091236,3089.4196425375135,4053.0002156449586,3604.719422114653,3142.773862595227,4066.6649816340787,3419.8891906953954,2556.903378091578,4574.143151770018
2027-12-01,3664.827422293032,3117.7609463406134,4211.893898245451,3588.787767180141,2061.6152783876264,5115.960255972655,3590.839214805664,3092.2835021084866,4089.3949275028417,3631.3080820657356,3152.79335473154,4109.8228093999305,3420.93822396301,2529.8721290281874,4625.853693509266
2028-01-01,3633.0862149154805,3076.94161586665,4189.230813964311,3594.0051024636755,2006.7193642538728,5181.290840673479,3610.468500520092,3095.147835875153,4125.789165165032,3647.0905054534715,3151.9836385615163,4142.197372345427,3421.8173887305643,2503.6988653043463,4676.614429984793
2028-02-01,3575.556937503839,3028.6788851733936,4122.434989834284,3591.2174495771183,1947.3366933593134,5235.098205794923,3630.0977862345203,3098.003731603406,4162.191840865635,3656.3043285978574,3144.574517424516,4168.034139771199,3422.554157895348,2478.354091062001,4726.474318569715
