date,original,seasonally_adjusted
2021-11-01,2088,2082.381692036928
2021-12-01,2116,2101.011994752752
2022-01-01,2147,2141.7984144908232
2022-02-01,2208,2215.839206865379
2022-03-01,2261,2253.244188400616
2022-04-01,2307,2315.2994293077973
2022-05-01,2350,2347.657288424385
2022-06-01,2342,2346.2010155376365
2022-07-01,2327,2324.7411546556427
2022-08-01,2336,2343.0650821089284
2022-09-01,2434,2436.200423483573
2022-10-01,2486,2494.560109155947
2022-11-01,2617,2611.381692036928
2022-12-01,2646,2631.011994752752
2023-01-01,2667,2661.7984144908232
2023-02-01,2575,2582.839206865379
2023-03-01,2500,2492.244188400616
2023-04-01,2390,2398.2994293077973
2023-05-01,2408,2405.657288424385
2023-06-01,2455,2459.2010155376365
2023-07-01,2502,2499.7411546556427
2023-08-01,2537,2544.0650821089284
2023-09-01,2520,2522.200423483573
2023-10-01,2482,2490.560109155947
2023-11-01,2328,2322.381692036928
2023-12-01,2344,2329.011994752752
2024-01-01,2359,2353.7984144908232
2024-02-01,2403,2410.839206865379
2024-03-01,2427,2419.244188400616
2024-04-01,2459,2467.2994293077973
2024-05-01,2577,2574.657288424385
2024-06-01,2605,2609.2010155376365
2024-07-01,2635,2632.7411546556427
2024-08-01,2599,2606.0650821089284
2024-09-01,2597,2599.200423483573
2024-10-01,2606,2614.560109155947
2024-11-01,2655,2649.381692036928
2024-12-01,2665,2650.011994752752
2025-01-01,2688,2682.7984144908232
2025-02-01,2721,2728.839206865379
2025-03-01,2800,2792.244188400616
2025-04-01,2809,2817.2994293077973
2025-05-01,2809,2806.657288424385
2025-06-01,2836,2840.2010155376365
2025-07-01,2974,2971.7411546556427
2025-08-01,3082,3089.0650821089284
2025-09-01,3093,3095.200423483573
2025-10-01,3116,3124.560109155947
2025-11-01,3081,3075.381692036928
2025-12-01,3118,3103.011994752752
2026-01-01,3090,3084.7984144908232
2026-02-01,3159,3166.839206865379
